-0.3287,-0.4129,0.3759,0.3524,0.5455,0.0158,-0.0893,-0.2589,0.0285,-0.2871
-0.1931,-0.3072,0.0162,-0.1413,-0.5251,0.5096,-0.0977,-0.2073,0.4714,-0.195
-0.5511,0.5961,0.0184,0.2713,0.0817,0.2288,0.3239,0.18,0.2586,0.0611
-0.2533,-0.0081,-0.3916,-0.1957,0.2039,0.4054,-0.0234,-0.4753,-0.4341,0.3511
-0.3463,-0.2526,0.2816,-0.1965,-0.07,-0.3342,-0.0679,0.06,0.2203,0.7245
-0.4147,0.0526,-0.1488,-0.6715,0.113,-0.3566,0.0622,0.0143,0.01,-0.4562
-0.3908,-0.0044,0.0788,0.3257,-0.5779,-0.2388,-0.1337,-0.0328,-0.553,-0.1383
-0.1225,0.0574,-0.5704,0.2712,0.096,-0.2091,-0.6579,0.044,0.3083,0.0104
-0.047,-0.4603,-0.5175,0.2574,-0.051,-0.2028,0.6293,0.05,0.0967,0.0149
-0.158,-0.313,-0.0634,-0.092,0.1223,0.3776,-0.1478,0.7889,-0.2506,-0.002
